Filename,                             Predictions
diseased cotton leaf\dis_leaf (124).jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (153)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (173)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (175)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (183)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (193)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (194)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (204)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (206)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (214)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (219)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (224)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (231)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (248).jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (258)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (260)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (265)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (273)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (277)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (322).jpg,fresh cotton leaf
diseased cotton leaf\dis_leaf (323)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (324)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (328)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (341)_iaip.jpg,diseased cotton leaf
diseased cotton leaf\dis_leaf (342)_iaip.jpg,diseased cotton leaf
diseased cotton plant\dd (16)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (176)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (188)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (21)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (285)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (289)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (29)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (31)_iaip.jpg,fresh cotton plant
diseased cotton plant\dd (314)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (318)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (328).jpg,diseased cotton plant
diseased cotton plant\dd (364)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (367).jpg,diseased cotton plant
diseased cotton plant\dd (40)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (41).jpg,diseased cotton plant
diseased cotton plant\dd (456)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (476)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (500)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (513).jpg,diseased cotton plant
diseased cotton plant\dd (658)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (706).jpg,diseased cotton plant
diseased cotton plant\dd (731)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (759)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (804)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (862)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (885)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (893)_iaip.jpg,diseased cotton plant
diseased cotton plant\dd (895)_iaip.jpg,diseased cotton plant
fresh cotton leaf\d (122)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (133)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (198)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (220)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (282)_iaip.jpg,diseased cotton plant
fresh cotton leaf\d (283)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (310)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (329)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (341).jpg,fresh cotton leaf
fresh cotton leaf\d (358)_iaip.jpg,fresh cotton plant
fresh cotton leaf\d (359)_iaip.jpg,fresh cotton leaf
fresh cotton leaf\d (366).jpg,fresh cotton leaf
fresh cotton leaf\d (378).jpg,fresh cotton leaf
fresh cotton leaf\d (384).jpg,fresh cotton leaf
fresh cotton leaf\d (396).jpg,fresh cotton leaf
fresh cotton leaf\d (40)_iaip - Copy.jpg,fresh cotton leaf
fresh cotton leaf\d (61)_iaip - Copy.jpg,fresh cotton leaf
fresh cotton leaf\d (63)_iaip - Copy.jpg,fresh cotton leaf
fresh cotton leaf\d (63)_iaip.jpg,fresh cotton leaf
